City,Datetime,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
Chennai,30-05-2016,358.1,368.5,102.7,135.4,56.1,10,8.33,27.6,128.8,14.7,20.49,6.72,367.5,Satisfactory
Kolkata,30-05-2016,127.6,153.2,61.6,11,24.1,23.8,6.38,95.6,112.4,9.32,21.36,5.69,253.1,Moderate
Bangalore,30-05-2016,378.2,343.8,66.7,49,2.9,21.6,5.68,1.6,87.5,18.59,2.76,0,97.9,Severe
Delhi,31-05-2016,281.4,354,171.2,63.4,108.1,1.3,8.86,76.1,76.4,5.46,0.11,4.62,99.4,Good
Mumbai,31-05-2016,40.9,71.1,5.5,34.9,231,32,9.5,23.2,69.1,2,13.78,4.43,328.2,Satisfactory
Chennai,31-05-2016,252.3,146.1,21,45.3,142.1,15.6,2.99,93.1,66.6,10.09,3.66,3.2,254.8,Very Poor
Kolkata,31-05-2016,179.5,303.8,164.6,90.2,13.8,20.4,9.12,29.7,148.4,18.6,26.17,6.18,379.4,Good
Bangalore,31-05-2016,223.8,442.9,45.5,41.6,220.6,24.3,6.47,71,65.6,5.04,3.34,8.79,304.8,Very Poor
Delhi,01-06-2016,298.7,66.4,4.6,84.1,13.4,24.8,0.01,80.1,192.9,16.58,7.25,6.1,381.2,Poor
Mumbai,01-06-2016,49.8,143.9,115.1,132.6,173.6,39.1,5.6,9.6,135.7,2.13,3.86,2,377.5,Good
Chennai,01-06-2016,305.7,238.2,52.7,104.4,91,11.3,9.66,85.1,105.2,10.52,24.48,5.61,126.5,Very Poor
Kolkata,01-06-2016,356.1,146.6,83,73.2,176.9,12.5,0.81,34.3,70.8,3,13.46,0.78,244.8,Severe
Bangalore,01-06-2016,353.7,66.7,193.1,43.2,159.4,16.3,0.76,76.7,12.2,1.1,27.7,0.96,278,Poor
Delhi,02-06-2016,161.3,509.7,96.4,54,164.1,19.3,9.12,63.3,74.2,9.81,22.88,2.27,496.6,Severe
Mumbai,02-06-2016,487.1,301.5,1,15.8,66.1,14.8,0.74,66.1,50.2,7.93,17.51,4.04,486.6,Good
Chennai,02-06-2016,437.2,342.2,53.8,30,38.8,36.2,7.83,6.5,191.1,18.04,13.9,3.99,138.6,Severe
Kolkata,02-06-2016,353.1,320.7,41.1,31.5,161,45.7,8.84,34.2,127.6,2.78,16.77,4.61,42,Severe
Bangalore,02-06-2016,212.1,484.8,55,24,183.6,20.8,5.21,43.1,173.3,12.18,27.96,7.07,200.3,Very Poor
Delhi,03-06-2016,411.7,227.8,95.6,80,44.5,11.8,9.48,40,179.1,8.86,13.43,2.39,389.8,Moderate
Mumbai,03-06-2016,12.9,271.6,7.7,100.8,65.5,8.5,8.51,23.4,56.4,11.8,3.58,0.45,312.6,Poor
Chennai,03-06-2016,270.5,508.6,189,98.2,56.3,38.4,8.44,73.7,129.7,6.43,19.5,3.22,195.5,Satisfactory
Kolkata,03-06-2016,168.2,39.6,64.7,26.3,240.5,45,3.79,97.9,38.3,9.76,25.52,7.67,176.2,Severe
Bangalore,03-06-2016,482.3,289.4,41.2,138.4,142.6,36.8,1.45,6.4,17.1,16.86,11.11,7.76,435.2,Poor
Delhi,04-06-2016,315.4,528.9,82.3,125.5,52.6,5.3,6.16,17.9,76.3,8.07,10.76,6.08,378.1,Poor
Mumbai,04-06-2016,233.8,47.9,135,39.3,64.3,31.5,2.89,64,153.3,17.75,26.69,8.97,412.3,Moderate
Chennai,04-06-2016,144.9,249.2,84.5,21.1,105.1,4.2,2.34,90,33.4,15.66,14.99,8.77,470.1,Severe
Kolkata,04-06-2016,475.2,400.5,31.8,150,11.5,33.8,6.7,15.1,192.9,13.47,23.03,0.99,461.5,Satisfactory
Bangalore,04-06-2016,391.4,463,48.2,102.7,60.6,23,7.59,74.6,46.4,6.14,18.77,0.05,378.5,Severe
Delhi,05-06-2016,141.1,122.8,80.1,134.5,23.4,35.4,8.35,32,153.4,7.99,24.19,5.99,316.4,Very Poor
Mumbai,05-06-2016,421.7,138.8,183.4,142.4,33.1,41.8,9.63,96.6,43.5,10.8,16.42,5.59,251.2,Good
Chennai,05-06-2016,312,444.9,8.1,63.4,64.4,45.1,1.99,97.8,180.6,14.6,4.99,1.57,22.1,Severe
Kolkata,05-06-2016,273.2,367.3,162.3,18.7,111.6,23,1.85,83.5,11.5,17.84,3.24,3.65,485.1,Poor
Bangalore,05-06-2016,191.3,561.7,182.5,15.5,30.8,0.5,8.06,90.5,64,5.09,6.88,4.83,482.1,Very Poor
Delhi,06-06-2016,293.2,130.9,1.2,8.5,51.2,23.1,8.86,56.2,51.1,15.55,7.96,1.33,434.4,Moderate
Mumbai,06-06-2016,69.3,346.8,100.9,34.1,137,28.2,4.89,49.8,24,1.53,27.12,0.04,353.8,Very Poor
Chennai,06-06-2016,296.1,227.7,91,13.2,234.8,1.5,8.06,0.5,70.3,5.25,10.32,9.13,149.2,Very Poor
Kolkata,06-06-2016,470.7,24.4,171.4,43.9,5.2,27,7.4,24.1,148.1,14.88,28.25,2.87,106.3,Moderate
Bangalore,06-06-2016,73.5,190.8,123.6,134.6,171,39.6,7.55,42.9,70.7,3.66,15.91,7.21,310,Satisfactory
Delhi,07-06-2016,354.4,260.1,189.1,32.5,188.5,11.4,6.34,55.4,115.6,13.82,25.86,9.4,400.7,Moderate
Mumbai,07-06-2016,435.7,44,153.1,48.5,30,5.3,0.1,55.7,60.3,2.68,2.89,9.29,129.2,Severe
Chennai,07-06-2016,244,84.8,95.9,92.9,7,38,2.69,15.9,195.9,5.1,28.66,4.52,374.3,Very Poor
Kolkata,07-06-2016,259.1,565.4,139.5,74,144,16.1,2.39,9.7,97,15.92,14.98,9.48,258.4,Poor
Bangalore,07-06-2016,363.7,429,28.3,109.9,90.2,15.1,8.47,20.6,79.9,4.47,23.41,4.89,287,Good
Delhi,08-06-2016,134.5,530.2,174.7,115.9,156.9,5.9,3.03,71.8,116.5,15.64,2.44,9.25,106.8,Very Poor
Mumbai,08-06-2016,270.3,594.8,122.5,92.7,23.6,29.5,9.02,8.1,97,6.92,24.57,0.12,343.9,Good
Chennai,08-06-2016,497.7,50.6,101.2,8.9,30.2,36.3,5.2,60.6,105,19.37,19.71,1.68,414.6,Very Poor
Kolkata,08-06-2016,309,505.5,84.5,10.5,42.2,32.3,7.91,42.5,59.4,2.57,2.9,9.83,58.6,Poor
Bangalore,08-06-2016,435.3,88.2,167.8,70.6,238,44.1,1.27,58.9,154.4,18.14,12.76,7.46,114.4,Good
Delhi,09-06-2016,220.2,246.3,39.9,44.7,48.2,1.1,6.74,46.9,88.7,19.51,3.62,6.16,165,Very Poor
Mumbai,09-06-2016,354.2,271.4,8.3,116.5,203.3,16.3,0.39,49.8,112.2,14.8,1.03,0.07,213.7,Severe
Chennai,09-06-2016,208,558.1,160.3,140.5,111.7,31.3,7.31,60.3,7.9,7.34,29.31,2.82,275,Moderate
Kolkata,09-06-2016,340,59.5,26.9,128.9,244.6,31.8,2.07,73.2,115.1,1.84,16.35,6.14,232.3,Moderate
Bangalore,09-06-2016,249.3,558,91.2,118.1,243.9,4.3,2.88,69,111.4,3.79,0.36,7.62,491.6,Very Poor
Delhi,10-06-2016,25.1,329.5,78.1,95.3,99.2,16.4,8.07,28.3,42.4,3.4,11.05,4.08,330.7,Poor
Mumbai,10-06-2016,331.3,341.8,177.5,89,50.8,28,6.33,33.9,31.2,12.99,8.78,2.41,396.1,Good
Chennai,10-06-2016,153.6,356.4,130.4,56,207.6,33.7,3.92,96,4.8,5.56,20.44,4.15,195,Severe
Kolkata,10-06-2016,218.4,147.1,161.3,63.5,74.9,40.9,2.93,42,136.7,3.25,20.13,3.79,142.2,Very Poor
Bangalore,10-06-2016,110.6,199.7,9.9,44.3,223,26.3,9.94,12.5,3.6,13.6,3.56,6.61,312.2,Good
Delhi,11-06-2016,303.1,354.7,151.6,54,190.4,45.4,3.11,31.5,131.2,3.26,4.11,3.69,355.7,Very Poor
Mumbai,11-06-2016,438.4,65.1,45.2,32.4,143.5,7.4,9.72,88.2,95,9.86,13.8,1.03,133.5,Moderate
Chennai,11-06-2016,283.5,90.5,100.9,144.8,35.9,43.6,1.36,41.8,183,19.84,23.55,6.94,327,Poor
Kolkata,11-06-2016,121.9,285.3,32.9,126.7,233.4,10.9,3.3,83.9,52.3,3.94,14.31,7.62,68.3,Satisfactory
Bangalore,11-06-2016,14.6,33.2,189.8,131.2,76.1,2.8,7.14,10,37.1,8.91,3.24,0.08,483.1,Severe
Delhi,12-06-2016,77.5,235.4,192.6,77.1,164.2,40.2,9.14,32.5,70.1,7.29,13.83,2.31,211.9,Moderate
Mumbai,12-06-2016,261,125.7,153.1,149.6,213.5,13.6,7.48,30.7,117.5,13.49,18.59,8.96,423.9,Satisfactory
Chennai,12-06-2016,400.9,267.4,57,34.7,9.2,12.8,3.57,99.1,27.4,13.42,27.72,5.45,263.4,Severe
Kolkata,12-06-2016,68.8,266.9,24.5,23.4,247.1,18,2.55,97.4,143.7,2.58,14.55,9.99,130.8,Satisfactory
Bangalore,12-06-2016,446.2,546.9,8.6,139.2,94.8,0.9,0.61,34.6,147,0.41,19.3,2.28,226.6,Poor
Delhi,13-06-2016,273.7,87.7,90.8,147.2,225.5,2.8,0.39,63.2,24.7,17.17,19.61,5.7,489.4,Poor
Mumbai,13-06-2016,229.1,345.4,73.2,79.9,33.9,25.5,9.01,78.9,36.4,12.37,28.92,2.52,430,Severe
Chennai,13-06-2016,338.5,553.1,190.3,83.1,187.2,45.6,5.43,21.6,104.6,16.89,20.54,6.39,420.5,Moderate
Kolkata,13-06-2016,292,308.8,66,54.5,119.1,18.3,9.46,11.5,151.6,5.66,13.41,2.69,60.4,Good
Bangalore,13-06-2016,194,394.3,105,76.6,64.9,29.6,8.82,50.7,183.4,4.8,23.28,1.71,395.2,Very Poor
Delhi,14-06-2016,243.1,353.1,110,36,91,45.3,6.05,5.9,164.1,11.69,20.93,8.02,470,Severe
Mumbai,14-06-2016,472.1,196.1,199.2,79.1,111,34.1,7.93,16.7,183.3,3.33,27,7.97,331.6,Severe
Chennai,14-06-2016,320.2,183.1,121.3,111.1,102.5,25,1.64,42.9,93.3,16.42,22.41,0.11,311.5,Poor
Kolkata,14-06-2016,247.6,110.7,120.2,127.4,35.2,23.1,0.82,56.3,128.2,4.14,18.83,8.18,90.5,Poor
Bangalore,14-06-2016,429.8,487.8,180.1,50.1,225.1,12.1,7.78,90.4,173.7,15.45,26.93,1.36,435.4,Severe
Delhi,15-06-2016,407.6,590.7,126.7,144.2,232.3,36.9,2.45,84.8,197.1,1.84,17.11,0.8,289.8,Moderate
Mumbai,15-06-2016,388.7,423.5,17.4,46.1,113.5,8.2,0.68,21.7,177.7,7.13,8.77,4.03,169.9,Very Poor
Chennai,15-06-2016,219.1,248.4,38.5,85,31.9,47.6,7.17,79.7,68,19.02,26.28,3.49,354,Severe
Kolkata,15-06-2016,27,567,170.6,144.6,235,24.6,5.42,12.7,4,0.73,18.02,5.68,237.8,Moderate
Bangalore,15-06-2016,169.1,309.9,178.1,126.4,77,49.1,6.34,31.4,11.8,6.12,8.3,5.2,314.9,Moderate
Delhi,16-06-2016,309.9,99.2,167.2,5.1,208.8,3,2.63,29.4,80.6,11.57,25.83,1.99,477,Moderate
Mumbai,16-06-2016,59.6,429.3,110.6,21.4,187.2,19.7,5.22,70.1,109.7,15.94,18.63,9.18,126.2,Poor
Chennai,16-06-2016,5.2,521.2,159.9,103.3,181,31.9,9.57,76.1,109.6,2.05,2.84,8.39,308.9,Poor
Kolkata,16-06-2016,254.1,5.7,112.8,144.8,59.5,17.3,9.21,31.4,195.7,17.47,4.15,4.8,5.9,Moderate
Bangalore,16-06-2016,443.7,377.8,172.4,12,186.5,30.7,5.58,93.8,41,8.82,12.38,6.99,31.1,Satisfactory
Delhi,17-06-2016,376.1,279.1,28.3,107.6,172.9,0,2.16,3.4,9.7,13.43,10.8,6,52.1,Satisfactory
Mumbai,17-06-2016,343.3,87.7,118.9,45.7,171.3,1.9,1.46,86.2,168.3,12.98,14.55,5.2,58.9,Good
Chennai,17-06-2016,206,224.6,101.8,143.2,160.7,2.4,5.88,71.8,20.6,10.9,9.99,2.59,207.4,Moderate
Kolkata,17-06-2016,177.8,318.5,152.6,3.1,141.5,7,4.14,69.7,167.8,13.54,1.94,2.41,43.5,Poor
Bangalore,17-06-2016,196.1,20,75.4,53.9,184.2,40.2,6.81,69.1,113.2,12.15,4.95,8.5,127.4,Good
Delhi,18-06-2016,35.3,242.8,86.3,106.4,234.4,30.4,2.18,27.9,99.3,17.32,20.18,1.16,250.1,Satisfactory
Mumbai,18-06-2016,464.3,88.9,156.1,127.7,48.5,29.5,3.9,85.4,3.4,1.93,23.97,5.29,3,Severe
Chennai,18-06-2016,240.7,167.9,95.2,80.3,57.4,26,8.91,94.4,39.1,6.69,8.97,3.42,240.6,Satisfactory
Kolkata,18-06-2016,361.7,558.3,138.5,57.8,27.2,31.3,3.3,27,32.7,13.83,23.47,2.27,396.1,Good
Bangalore,18-06-2016,15.1,97.8,65,112,38.5,32.6,9.42,13.6,158.2,14.13,24.05,6.07,220.4,Very Poor
Delhi,19-06-2016,197.2,20.8,116.2,78.2,56.6,10.7,1.21,36.9,143.9,7.59,26.89,7.61,218,Severe
Mumbai,19-06-2016,462.4,197.4,142.2,119,8.4,20.2,6.5,50.2,74.2,15.36,0.36,2.4,478.2,Moderate
Chennai,19-06-2016,73,504.6,112.5,101.4,78.9,29.2,0.26,22.9,101.8,8.35,6.04,8.43,108.4,Satisfactory
Kolkata,19-06-2016,9.1,559.5,145.9,65,161.5,34.2,5.89,95,50.5,6.93,8.98,3.02,153.4,Good
Bangalore,19-06-2016,386.8,378.4,185.1,86.7,25.9,18.4,8.21,33.8,183.1,10.7,26.67,7.57,33.7,Very Poor
Delhi,20-06-2016,390.9,495.5,192.9,84.5,69.3,42.4,8.72,69.9,48.2,14.99,9.35,7.65,84.7,Severe
Mumbai,20-06-2016,88.9,312.6,97.1,81.7,121,40.2,6.64,20.8,120,1.26,8.35,7.95,49.3,Severe
Chennai,20-06-2016,440,260.5,83.8,85.9,89.3,46,10,52.7,85.2,4.69,16.26,5.5,50.2,Satisfactory
Kolkata,20-06-2016,212.8,410,125.4,99.8,193.8,11.8,7.17,74.2,94.6,3.45,17.51,8.16,332.1,Satisfactory
Bangalore,20-06-2016,171.6,367.3,171.9,148.9,248.4,35.5,1.11,54.9,143.4,6.82,22.13,9.61,342.1,Satisfactory
Delhi,21-06-2016,234.3,327.2,27.4,131.7,106.7,16.6,2.01,81.9,156,5.97,14.02,5.69,396.3,Very Poor
Mumbai,21-06-2016,55.3,541.1,4.2,118.6,199.8,14.6,2.47,89.4,53.4,8.31,15.08,8.3,201.6,Satisfactory
Chennai,21-06-2016,179,495.2,88.4,68.5,180.4,44.5,0.16,12.6,134.9,7.67,10.1,8.44,466,Satisfactory
Kolkata,21-06-2016,433.2,90.6,197.4,105.8,117.2,15.7,6.31,93.5,151.7,0.28,14.22,3.78,26.9,Very Poor
Bangalore,21-06-2016,113.3,208,100.1,90,33.9,33.3,4,24.2,31.8,1.13,1.15,4.12,356.6,Very Poor
Delhi,22-06-2016,40.5,348,155.4,100.6,148.4,21.1,0.33,20.5,118.3,15.72,0.21,0.48,102.6,Satisfactory
Mumbai,22-06-2016,70.9,467.8,59.7,123.4,103.1,47.6,9.15,44.4,194.1,17.25,23.48,0.78,127.8,Satisfactory
Chennai,22-06-2016,32.3,517.2,178.2,144.9,174.3,22.2,9.86,30.8,154.3,13.06,0.57,7.77,88.2,Very Poor
Kolkata,22-06-2016,466.8,85.3,60.4,6.8,184.2,14.9,8.01,12.2,92.4,0.03,19.86,9.57,307.9,Very Poor
Bangalore,22-06-2016,60,493.4,181.1,8.1,54.7,30.4,6,93.9,63.6,16.23,29.3,3.79,356.2,Severe
Delhi,23-06-2016,58.5,134,107.6,78,38.2,41.9,5.88,57,184.7,16.38,15.5,4.22,39,Poor
Mumbai,23-06-2016,202.7,477.6,83.1,93.4,185.7,34.6,5.29,78.4,14.7,16.54,28.12,6.88,179.7,Satisfactory
Chennai,23-06-2016,464,379.4,175.3,96.8,133,43.8,8.68,60.8,119.7,9.46,22.1,0.52,386,Moderate
Kolkata,23-06-2016,210.6,503.8,139.9,101.1,212.3,25.9,7.55,10.7,165.6,2.21,4.61,9.11,55.3,Satisfactory
Bangalore,23-06-2016,16.9,436.9,125.5,50.7,39.6,10.3,9.83,91.3,190.8,18.17,29.81,1.82,188.8,Severe
Delhi,24-06-2016,303.7,322.1,20.2,68.4,105.5,14.7,4.75,90,93,1.18,21.35,7.05,316.1,Very Poor
Mumbai,24-06-2016,392.3,381.9,90,48.6,229.5,13.8,2.7,87.5,112.6,11.72,17.79,8.36,428.9,Poor
Chennai,24-06-2016,403.1,64.7,146.4,123.3,79.4,28.5,3.83,61.6,25,16.63,18.44,3.92,190.2,Moderate
Kolkata,24-06-2016,472.5,371.9,160.8,121.3,241.5,30.3,7.82,86.3,17.6,15.01,13.45,1.4,195.1,Very Poor
Bangalore,24-06-2016,475.5,586.4,94.3,109.5,140.3,41.9,4.68,44.7,131.8,2.12,27.24,8.44,450.4,Very Poor
Delhi,25-06-2016,128.6,592.7,172.5,75.9,174.9,26.4,3.42,23.5,127.5,5.9,0.25,5.05,273.4,Good
Mumbai,25-06-2016,366.4,416.2,87.3,27,173.2,40.8,8.98,74.5,147.1,17.37,14.51,0.77,64.2,Good
Chennai,25-06-2016,356.1,15.6,122.6,93.4,225.1,17.4,3.97,71.4,71.4,14.72,12.51,5.31,82.7,Very Poor
Kolkata,25-06-2016,207,590.4,176.5,29.5,11.4,29,6.59,61.2,48.6,2.31,14.94,1.13,273.8,Very Poor
Bangalore,25-06-2016,391.4,206.3,17.7,148.7,229.7,14.1,7.32,23.6,11.7,16.11,20.27,2.99,188.2,Very Poor
Delhi,26-06-2016,57.9,79.3,150.9,115.2,93.9,43.9,9.55,48.2,168.1,19.58,23.3,4.27,335.1,Moderate
Mumbai,26-06-2016,46.7,200.2,153.1,35.4,120.6,9.1,8.18,33.3,15.7,20,23.82,5.31,41.6,Poor
Chennai,26-06-2016,8.6,470.4,20.8,127,43.6,45.4,8.35,30.7,182.2,18.09,22.9,0.91,267.7,Severe
Kolkata,26-06-2016,297.7,300.1,103.3,110.7,139.2,32.9,8.28,61.9,79.3,8.56,25.58,7.87,30.5,Satisfactory
Bangalore,26-06-2016,247.2,527,191.5,137.5,15.6,6,3.26,3.8,122.6,1.38,14.88,7.66,130.8,Poor
Delhi,27-06-2016,440.3,491.8,191,77.7,69.9,14.9,9.24,88.3,44.4,7.69,21.22,8.87,311.3,Poor
Mumbai,27-06-2016,421,440.3,194.4,13.9,233.7,6.8,9.58,73.8,149.4,14.43,21.67,8.4,116.3,Satisfactory
Chennai,27-06-2016,486.4,211,158.6,145.9,134.9,49.2,8.12,21.9,83.3,17,27.35,4.48,245.7,Severe
Kolkata,27-06-2016,123.1,599.5,107.4,94,150.5,33.2,5.28,98.4,164.2,14.84,5.16,0.93,104.6,Poor
Bangalore,27-06-2016,199.6,282.1,82,115.6,229.8,3.7,6.77,0.3,186.2,4.42,7.75,0.36,300.5,Satisfactory
Delhi,28-06-2016,90.5,540.1,180.5,145,84.4,26,2.63,3.3,38.8,8.68,2,0.02,328,Poor
Mumbai,28-06-2016,90.2,584.8,146.1,20.9,78,31.2,7.83,82,101.5,13.41,26.55,0.94,396.1,Severe
Chennai,28-06-2016,109.6,220,128.8,55.5,231.2,27.2,1.29,44.2,83.9,9.15,13.1,6.02,457.1,Satisfactory
Kolkata,28-06-2016,91.9,159.5,129.9,137.7,39.2,17,4.41,32,52.9,16.89,24.23,2.88,241.8,Poor
Bangalore,28-06-2016,204.1,540.8,104.1,9.4,116.3,38,5.5,40,153.5,9.63,24.33,9.79,179.2,Poor
Delhi,29-06-2016,51.6,557.4,199.1,4.9,168.4,11.9,6.46,32,130.2,5.14,28.96,5.94,137.5,Very Poor
Mumbai,29-06-2016,187.5,549.7,44.7,117.3,147.2,34.5,9.21,98,49.7,0.62,25.34,1.48,310.4,Moderate
Chennai,29-06-2016,238.7,327.6,110.9,128.2,79.9,20.1,2.51,87.6,56.8,15.99,23.01,1.5,487.1,Very Poor
Kolkata,29-06-2016,330,137.6,129.7,73.9,44.6,29,8.65,18.5,57.4,17.96,7.56,2.23,29.7,Moderate
Bangalore,29-06-2016,475.2,509.1,183.8,118,198.5,22.5,8.99,59.1,114,15.4,18.67,8.46,445.7,Satisfactory
Delhi,30-06-2016,85.2,278.1,6.6,5,36.5,39.3,6.05,57,70.3,3.82,25.26,6.49,379.2,Severe
Mumbai,30-06-2016,342.6,333.6,146,94.4,87.7,36,1.41,85.7,155.4,0.5,20.05,2.49,379,Poor
Chennai,30-06-2016,113.2,408.9,42.3,140.1,175.3,28.2,5.48,63,140.5,6.58,1.53,6.78,282.4,Satisfactory
Kolkata,30-06-2016,374.9,550.3,73.5,117.7,31.7,21.2,4.94,1.7,190.2,8.69,29.28,3.02,477.2,Poor
Bangalore,30-06-2016,378.1,322.4,95.2,54.7,65.3,29.3,0.73,54,108.1,17.48,25.64,8.49,446.6,Satisfactory
Delhi,01-07-2016,274.1,502.1,104,80.7,44.1,33.2,2.08,66,137.2,2.18,7.27,9.08,236.2,Good
Mumbai,01-07-2016,422.6,121.6,199.6,49,150.4,7.9,8.88,83.1,57,4.33,15.96,0.87,283.1,Severe
Chennai,01-07-2016,490.6,457.1,166,132.9,0.5,42.2,0.15,28.8,18.7,12.6,29.64,1.37,214.1,Moderate
Kolkata,01-07-2016,200.7,453.4,188.2,96.6,71,13.6,2.57,25.1,87.1,13.8,7.24,1.86,38.1,Good
Bangalore,01-07-2016,395.9,360.6,162.3,111.7,179.1,38.3,3.08,81.5,46.5,13.93,4.62,2.18,457.5,Moderate
Delhi,02-07-2016,232.3,258,2.5,12.6,101.7,19.2,6.64,75.5,9.2,13.12,17.04,5.74,477.9,Moderate
Mumbai,02-07-2016,87,92.8,5.8,21.9,214.2,5,5.12,47.2,12.2,15.03,25.08,5.48,461.2,Satisfactory
Chennai,02-07-2016,477.2,241.6,14.3,19.7,87.9,35.5,0.58,49.1,2.2,8.9,17.78,0,185.9,Poor
Kolkata,02-07-2016,248.8,147.8,59.9,95.1,238.4,7.5,9.2,21.5,141,3.51,16.51,9.53,314.4,Very Poor
Bangalore,02-07-2016,467.3,262.6,9.8,16.8,87.5,1.9,0.8,43,141.2,13.76,10.72,1.95,92.8,Poor
Delhi,03-07-2016,141.5,65.9,93.7,14.1,28.7,49.6,4.36,90.4,55.4,6.4,18.4,9.4,481.8,Severe
Mumbai,03-07-2016,62.2,354.1,123.2,44.6,160.1,15.6,6,73.7,82.8,17.53,4.38,4.36,477.2,Moderate
Chennai,03-07-2016,400.8,81.7,100.8,74.7,177.5,26.3,6.07,17.8,105.1,3.21,25.46,2.99,226.3,Moderate
Kolkata,03-07-2016,263.5,435,22.7,82.1,130.1,48,4.63,66.2,184.4,2.93,28.38,9.34,375,Severe
Bangalore,03-07-2016,201.8,550.8,157.8,21.3,151.7,10.1,9.72,98,189.1,17.42,9.23,0.43,26.9,Poor
Delhi,04-07-2016,258.7,507.5,67.4,60.8,82.6,6.2,2.86,5.6,50,6.92,3.38,5.44,41.1,Very Poor
Mumbai,04-07-2016,327.3,116.1,80.4,25.1,7,43.4,2.68,87.1,109.9,17,14.65,7.19,106.2,Good
Chennai,04-07-2016,317,36.9,5.8,12.9,158.1,23.6,5.96,76.5,149.3,12.14,16.83,4.32,322.7,Very Poor
Kolkata,04-07-2016,455,166.7,48.2,63.1,18.8,28,6.99,50.4,157.5,12.02,2.95,3.25,58.1,Good
Bangalore,04-07-2016,482.9,376.9,0.5,111.7,68.9,3.3,7.5,57.7,75.4,16.14,3.62,3.68,62.4,Good
Delhi,05-07-2016,202.7,364.8,89,83.8,91.3,4.1,3.52,79.9,3.4,0.44,25.01,8.64,207.8,Poor
Mumbai,05-07-2016,381.4,568.9,159.5,89.1,0.6,46.2,2.08,86.3,22.5,10.44,2.79,8.19,494.5,Good
Chennai,05-07-2016,460.6,25.6,123.8,85.3,148.8,31.1,3.68,90.8,1.4,6.37,16.49,8.32,310.9,Very Poor
Kolkata,05-07-2016,335.3,65.8,1.5,148.8,207.6,27.8,1.15,83.6,131.2,9.71,10.7,7.17,397,Severe
Bangalore,05-07-2016,272.5,5.4,27.8,147.3,75.4,16.5,7.99,43,13.3,19.97,11.6,4.6,180.1,Very Poor
Delhi,06-07-2016,417.2,342.4,185.2,123.7,48.6,1.5,6.46,42.2,112.7,12.01,15.2,8.04,169.4,Satisfactory
Mumbai,06-07-2016,18.8,150.3,129.5,88.8,70.6,33.2,0.06,71,13.2,9.12,9.56,9.25,225.3,Severe
Chennai,06-07-2016,69.5,24.8,43,114.9,130.4,35.5,4.1,3.8,194.5,3.54,1.26,2.47,400.3,Very Poor
Kolkata,06-07-2016,446.4,324.7,117.1,8.6,184.8,26.6,1.99,87.5,95.9,0.02,12.03,5.4,12.7,Severe
Bangalore,06-07-2016,144.3,170.6,182.4,113.9,134.7,44,4.43,54.7,184.5,1.3,12.59,5.56,430.2,Severe
Delhi,07-07-2016,477.4,600,157.4,87.6,88,14.9,0.07,20.3,165.2,1.36,7.91,2.93,110.6,Severe
Mumbai,07-07-2016,268.4,259.7,136.1,93.7,63,39.5,1.46,69.2,119.4,3.69,18.3,1.43,163.9,Poor
Chennai,07-07-2016,308.6,343.7,159.5,97.9,101.3,2.1,2.39,26.1,90.8,10.75,16.19,6.5,496.1,Good
Kolkata,07-07-2016,339.2,220.3,87.7,1.6,245.4,13.7,6.09,25.8,82.2,8.95,26.97,3.43,104.6,Very Poor
Bangalore,07-07-2016,223.9,150.5,132.5,101.8,186.5,18.5,9.61,86.1,17.4,0.53,4.99,6.11,399.2,Satisfactory
Delhi,08-07-2016,170.2,134.5,52.3,100.9,220.9,3.5,1.8,12.4,151,18.61,24.34,0.07,230.4,Moderate
Mumbai,08-07-2016,248,261.4,82.6,100.6,21.9,23.4,8.14,38.5,136.3,17.55,21.68,0.57,360.4,Moderate
Chennai,08-07-2016,149.3,88.9,154.9,78,73.3,40.4,9.85,19.6,123.3,10.92,23.68,8.92,303.6,Severe
Kolkata,08-07-2016,177.8,597.4,10.4,90.4,147.7,24.7,3.35,87.1,63.9,5.53,19.05,7.54,279.6,Satisfactory
Bangalore,08-07-2016,418.1,288.8,33.7,66.9,147.4,24.6,1.74,88.9,36.9,4.02,19.05,0.35,28.6,Very Poor
Delhi,09-07-2016,343.1,94.4,57.2,105.3,151.3,36.6,1.77,43.6,6.5,2.04,19.79,5.76,208.4,Very Poor
Mumbai,09-07-2016,159,324.9,116.5,81.5,109.2,37,3.93,33.5,161.2,1.65,11.89,8.59,390.7,Satisfactory
Chennai,09-07-2016,299.1,221.7,75.7,91,19.5,32.6,9.9,33.3,180.6,3.76,6.07,6.94,221.6,Severe
Kolkata,09-07-2016,290.2,15.4,129.9,84.4,75.7,17.9,8.14,47.3,179.1,12.35,5.47,4.28,119.9,Satisfactory
Bangalore,09-07-2016,113.7,255.7,82.3,126.4,142.6,19.8,1.69,27,31.8,8.58,18.13,2.13,28,Good
Delhi,10-07-2016,15.2,409.6,23.4,33.3,114.3,9.6,6.5,44.7,120.5,12.24,12.13,2.92,360.8,Moderate
Mumbai,10-07-2016,464.1,12,106.5,24.6,185.7,18.2,0.08,23.2,194,6.04,8.69,5.22,65.1,Moderate
Chennai,10-07-2016,170.6,459.4,7.5,49.1,64.4,16.5,9.74,19.4,195.4,9.34,8.66,8.23,88,Good
